Participant,Age,Sex
sub1,31,Male
sub2,25,Female
sub3,22,Male
sub4,21,Female
sub5,18,Male
sub6,21,Male
sub7,19,Female
sub8,21,Male
sub9,19,Female
sub10,20,Female
sub11,21,Male
sub12,21,Female
sub13,19,Male
sub14,21,Male
sub15,21,Male
sub16,24,Female
sub17,19,Female
sub18,22,Female
sub19,28,Female
sub20,19,Male
sub21,33,Male
sub22,26,Female
sub23,18,Male
sub24,25,Female
sub25,28,Male
sub26,27,Female
sub27,19,Male
sub28,19,Female
sub29,22,Male
sub30,24,Female
sub31,26,Male
sub32,24,Female
sub33,20,Female
sub34,25,Male
sub35,25,Female
sub36,18,Female
sub37,19,Male
sub38,22,Female
sub39,18,Male
sub40,21,Female
sub41,22,Female
sub42,28,Male
sub43,27,Female
sub44,18,Male
sub45,19,Female
sub46,19,Female
sub47,18,Female
sub48,18,Female
sub49,32,Male
sub50,30,Female
sub51,20,Female
sub52,26,Male
sub53,18,Female
sub54,19,Female
