PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
233,27,48,21,0,0,0,0,0,0,0,4,1,1,50,24,26,0,0,0,0,0,0,0,0,6,6,3,1, ,5,40,2,38.78293791,29715,28.05673759,21150
157,39,0,0,0,0,0,0,0,0,0,61,5,2,19,0,0,0,53,0,28,0,0,0,0,2,3,2,4,20,5,59,2,37.21451104,123630,24.32338765,65355
275,0,0,50,0,0,50,0,0,0,0,0,5,5,0,0,11,0,0,0,35,0,54,0,0,5,5,4,5,100,5,41,2,20.75,60000,14.44257703,107100
111,9,14,17,17,17,8,7,5,2,2,2,7,7,2,7,7,11,11,13,14,14,14,5,2,1,3,3,4,150,8,59,2,35.37958049,59355,26.92590028,86640
52,68,32,0,0,0,0,0,0,0,0,0,4,5,0,0,57,0,0,43,0,0,0,0,0,4,4,5,5,500,5,35,1,16.875,15360,21.40105541,56850
11,10,31,6,14,8,8,6,5,5,7,0,1,4,8,25,8,16,7,11,11,9,3,1,1,6,6,5,6,600,3,34,2,40.92447917,57600,37.08824267,59835
76,1,4,30,8,19,7,5,4,2,10,10,3,3,1,29,0,0,20,50,0,0,0,0,0,5,5,2,5,600,4,36,2,35.72710385,80745,23.66943562,61395
90,2,20,10,7,18,4,4,10,10,10,5,5,4,0,0,10,80,10,0,0,0,0,0,0,3,4,3,4,600,3,39,2,36.57026976,79515,7.142857143,52500
93,33,23,10,10,9,4,4,4,2,1,0,5,3,50,14,9,7,6,5,1,1,4,3,0,5,5,4,5,600,2,40,2,44.77811207,39885,49.38912134,35850
104,10,13,11,16,23,12,8,3,2,2,0,4,5,6,10,15,21,23,11,5,3,2,2,2,4,5,4,5,680,3,31,1,31.72378517,58650,30.91160758,61770
26,33,26,11,4,2,6,3,3,3,6,3,5,4,5,8,8,10,6,9,8,8,6,10,22,4,4,1,2,1000, ,53, ,51.48527529,46860,35.40347072,103725
259,79,21,0,0,0,0,0,0,0,0,0,4,5,45,51,0,4,0,0,0,0,0,0,0,3,3,4,4,1000,4,19,1,14.26293559,14205,21.76679842,18975
255,27,32,27,7,5,1,1,0,0,0,0,1,1,68,20,9,3,0,0,0,0,0,0,0,5,6,3,1,1100,5,27,1,32.33503315,29415,26.44804089,17610
176,20,25,10,10,5,5,5,5,5,5,5,3,3,40,40,10,10,0,0,0,0,0,0,0,6,5,2,2,1200,3,49,2,47.70785071,58275,29.5,22800
51,2,9,19,22,21,15,6,3,1,1,1,2,3,3,4,8,12,14,18,15,12,9,4,1,4,3,1,4,1400,5,64,2,26.77804938,61365,25.54439167,82110
92,22,20,20,20,4,3,3,2,2,2,2,3,1,30,10,11,11,5,5,4,4,0,20,0,4,4,3,5,1600,3,47,1,42.26188881,44790,46.82793017,60150
18,16,28,35,21,0,0,0,0,0,0,0,5,5,10,19,19,12,12,12,16,0,0,0,0,4,5,4,5,2000,9,34,2,25.4652456,32370,33.27142857,52500
122,0,13,29,40,18,0,0,0,0,0,0,5,5,5,21,36,22,0,0,16,0,0,0,0,3,3,4,4,3800,5,28,2,18.11182109,46950,30.20391517,45975
206,6,12,19,16,10,10,10,8,4,3,2,2,2,6,37,30,12,5,2,3,3,2,0,0,5,6,1,4,4000,2,26,2,34.70986812,65970,33.12972572,40470
294,0,32,18,50,0,0,0,0,0,0,0,3,3,0,24,24,40,12,0,0,0,0,0,0,4,6,4,5,4000,7,34,2,19.44776119,40200,20.53793103,43500
123,1,2,8,18,22,22,15,9,2,1,0,9,9,15,24,23,19,6,3,3,2,2,2,1,1,2,3,5,4200,8,24,2,20.69215332,74745,38.65886288,44850
83,18,19,21,19,16,2,1,1,1,1,1,5,4,12,20,21,17,17,13,0,0,0,0,0,4,4,3,3,5000,5,30,1,36.20041394,43485,30.82910547,44940
156,10,20,20,30,8,5,3,1,1,1,1,5,7,10,11,13,20,16,13,8,4,2,2,1,3,2,4,5,5000,5,36,2,33.01589825,47175,33.03237858,60225
220,2,10,22,41,20,5,0,0,0,0,0,3,3,0,0,40,50,10,0,0,0,0,0,0,4,5,1,1,5299.99,3,56,2,19.39987974,49890,12.3125,48000
185,3,12,14,13,8,16,8,8,9,4,5,3,3,0,0,5,11,19,20,29,11,3,1,1,3,6,2,3,5583,5,33,1,34.14407436,77460,17.79221927,84825
48,22,27,25,12,0,0,0,0,0,0,14,1,1,8,21,31,30,0,0,0,0,0,0,10,6,5,1,4,6000,5,57,1,51.51305862,51690,40.59646119,52560
75,9,3,12,18,16,10,8,8,7,5,4,1,1,6,7,10,12,8,4,9,4,7,11,22,1,1,2,6,6000,6,31,2,33.49452954,75405,36.75957572,101820
81,4,5,6,25,26,14,5,5,5,3,2,5,5,1,1,10,19,23,23,10,4,4,3,2,1,2,2,4,6000,7,44,2,27.18515394,71130,23.34102109,76095
114,8,15,16,15,13,10,10,6,3,3,1,2,1,31,15,17,37,0,0,0,0,0,0,0,2,5,2,2,6000,3,59,2,35.12381646,61785,30.78385773,32895
243,10,15,25,20,10,5,5,5,2,2,1,1,1,40,25,20,15,0,0,0,0,0,0,0,5,6,1,6,7500,3,42,1,35.82933709,53175,32.40697674,25800
15,25,19,10,8,7,6,5,5,5,5,5,5,7,1,60,30,9,0,0,0,0,0,0,0,2,2,3,4,9000,7,53,2,48.20971867,58650,18.56006082,29595
229,57,20,14,3,1,1,0,1,1,1,1,1,3,76,0,24,0,0,0,0,0,0,0,0,3,4,3,3,9000,3,27,2,42.95636792,25440,27.66887417,18120
258,14,19,21,23,9,4,4,3,1,1,1,3,2,34,39,27,0,0,0,0,0,0,0,0,5,5,2,3,9200,5,42,1,36.35112806,47205,25.11879896,22980
