Group,Sex,Mean_Age,ComparisonLength
1,Male,4.1,4.09
2,Male,5.2,3.9
3,Male,6.4,3.81
4,Male,7.3,3.69
5,Male,8.3,3.58
6,Male,9.2,3.62
7,Male,10.3,3.51
8,Male,11.1,3.66
9,Male,12.7,3.99
10,Male,13.7,3.42
11,Male,14.7,3.64
12,Male,15.6,3.47
13,Male,16.6,3.47
14,Male,17.7,3.56
15,Male,19.3,3.39
16,Male,21.5,3.47
17,Male,23,3.4
18,Male,24.4,3.45
19,Male,25.9,3.5
20,Male,28.6,3.49
21,Male,31.2,3.47
22,Male,36.1,3.55
23,Male,40.2,3.55
24,Male,45.7,3.42
25,Male,61.4,3.84
26,Male,82.5,3.84
27,Female,4.2,3.86
28,Female,5.2,3.91
29,Female,6.2,3.63
30,Female,7.3,3.57
31,Female,8.3,3.6
32,Female,9.3,3.6
33,Female,10.4,3.52
34,Female,11.4,3.62
35,Female,12.4,3.37
36,Female,13.6,3.3
37,Female,14.5,3.52
38,Female,15.4,3.5
39,Female,16.6,3.55
40,Female,17.5,3.56
41,Female,18.1,3.51
