ID,Q1 ,Q2,Q3,Q4,Q5 ,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15 
1,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
2,STRONGLY DISAGREE,STRONGLY DISAGREE,NEUTRAL ,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
3,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY AGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
4,NEUTRAL ,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL ,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE
5,NEUTRAL ,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,NEUTRAL 
6,NEUTRAL ,SLIGHTLY AGREE,SLIGHTLY AGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY DISAGREE,SLIGHTLY AGREE,SLIGHTLY AGREE,NEUTRAL ,NEUTRAL ,STRONGLY DISAGREE,STRONGLY AGREE
7,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
8,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL ,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,SLIGHTLY DISAGREE,NEUTRAL 
9,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
10,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,SLIGHTLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
